Frequency	Magnitude	Phase
0.3125	-76.04145	-46.84457
0.625	-74.60498	-26.93887
0.9375	-74.52173	-54.18293
1.25	-72.83171	-123.181
1.5625	-74.60695	-117.8416
1.875	-73.44324	-90.54282
2.1875	-70.65102	-88.98029
2.5	-70.37939	-126.4649
2.8125	-71.25888	-141.9449
3.125	-69.73312	-129.4349
3.4375	-70.27484	-115.9781
3.75	-68.71232	-99.83047
4.0625	-67.43768	-122.9085
4.375	-68.50398	-132.1708
4.6875	-69.67092	-137.7193
5	-68.72913	-130.0668
5.3125	-67.33243	-127.1898
5.625	-67.22356	-149.6839
5.9375	-66.27165	-143.6926
6.25	-67.61231	-142.9339
6.5625	-65.60162	-131.6239
6.875	-65.70629	-153.8471
7.1875	-65.94958	-150.0123
7.5	-66.48694	-163.0083
7.8125	-65.06664	-159.1883
8.125	-63.96044	-158.6002
8.4375	-64.10052	-155.5008
8.75	-62.48836	-164.067
9.0625	-64.90025	179.5537
9.375	-64.37916	-178.2243
9.6875	-66.29639	-168.1348
10	-61.97148	176.7475
10.3125	-65.09898	160.2951
10.625	-63.47745	172.4639
10.9375	-62.77036	157.2348
11.25	-63.53114	160.9549
11.5625	-62.80881	155.0191
11.875	-62.81103	142.6238
12.1875	-60.70239	136.0839
12.5	-64.13084	137.1693
12.8125	-61.09902	130.1705
13.125	-60.16596	131.2336
13.4375	-58.44568	129.6626
13.75	-58.25705	116.9579
14.0625	-56.74277	116.9011
14.375	-56.2524	116.4827
14.6875	-54.76624	117.7084
15	-53.96488	112.0689
15.3125	-52.47731	102.8283
15.625	-51.69951	99.80563
15.9375	-50.25888	93.22226
16.25	-48.6898	84.14899
16.5625	-47.95618	70.8931
16.875	-49.15241	56.36834
17.1875	-52.7097	69.7235
17.5	-50.7107	88.69748
17.8125	-48.52421	91.65247
18.125	-45.92251	92.64886
18.4375	-44.26964	92.15703
18.75	-42.73962	89.08676
19.0625	-41.27811	85.93212
19.375	-39.18808	83.61198
19.6875	-37.51921	81.00848
20	-35.5568	79.83466
20.3125	-33.22259	77.7385
20.625	-30.60332	72.61399
20.9375	-27.37624	65.66471
21.25	-23.46705	55.97482
21.5625	-18.27604	32.21929
21.875	-14.94191	-32.95881
22.1875	-21.0974	-74.79369
22.5	-24.40054	-82.88615
22.8125	-26.35201	-86.94531
23.125	-27.7528	-92.99614
23.4375	-29.02232	-97.38275
23.75	-29.86332	-100.3498
24.0625	-30.73876	-102.5091
24.375	-31.18392	-105.4615
24.6875	-31.49605	-107.5165
25	-31.8517	-112.4987
25.3125	-31.93533	-115.5041
25.625	-32.17663	-119.3288
25.9375	-32.39717	-126.0588
26.25	-32.85719	-131.445
26.5625	-33.09913	-141.4786
26.875	-34.06741	-146.0578
27.1875	-35.15821	-150.672
27.5	-36.27749	-153.5508
27.8125	-37.92616	-155.7049
28.125	-39.074	-151.7533
28.4375	-39.74147	-142.485
28.75	-39.8229	-134.478
29.0625	-38.89661	-128.3951
29.375	-37.73003	-128.1757
29.6875	-36.41703	-130.7634
30	-34.77561	-137.013
30.3125	-33.13601	-150.0343
30.625	-32.1196	-178.3877
30.9375	-35.41683	149.2983
31.25	-40.42114	138.7754
31.5625	-46.37411	152.0717
31.875	-45.30127	-163.4053
32.1875	-42.08055	179.802
32.5	-43.8139	159.4238
32.8125	-47.20098	153.5819
33.125	-51.03428	163.1156
33.4375	-52.46435	177.926
33.75	-54.70676	-156.265
34.0625	-53.22892	-136.4859
34.375	-51.93218	-136.6227
34.6875	-50.71929	-118.6315
35	-50.49844	-116.9912
35.3125	-49.74211	-115.1631
35.625	-49.33393	-108.9917
35.9375	-48.11457	-112.4237
36.25	-48.35433	-112.9051
36.5625	-47.55583	-109.9947
36.875	-47.26591	-108.4575
37.1875	-46.71066	-106.9773
37.5	-46.48522	-110.9282
37.8125	-45.79797	-104.6192
38.125	-46.01484	-103.7242
38.4375	-46.05034	-106.109
38.75	-45.41061	-105.4971
39.0625	-44.97032	-103.7588
39.375	-44.73265	-101.445
39.6875	-44.84682	-102.5796
40	-44.7124	-99.97726
40.3125	-43.49583	-98.61001
40.625	-42.93423	-101.0532
40.9375	-43.30932	-113.2253
41.25	-44.43742	-108.9184
41.5625	-44.25	-106.5641
41.875	-43.75194	-108.5362
42.1875	-43.18258	-106.5766
42.5	-43.4836	-104.1445
42.8125	-43.55259	-105.9586
43.125	-42.99288	-102.9779
43.4375	-42.24918	-101.6432
43.75	-42.5212	-107.235
44.0625	-42.6252	-105.7066
44.375	-42.48859	-108.7344
44.6875	-42.33803	-109.543
45	-41.92615	-110.7286
45.3125	-42.60589	-112.2071
45.625	-42.47749	-110.9873
45.9375	-42.52086	-108.5799
46.25	-42.66537	-110.6926
46.5625	-42.88567	-105.691
46.875	-42.44249	-106.2809
47.1875	-42.51136	-102.9591
47.5	-42.01897	-100.51
47.8125	-42.07146	-101.958
48.125	-42.06664	-104.3592
48.4375	-41.66441	-104.369
48.75	-41.40149	-103.7115
49.0625	-41.08558	-100.8028
49.375	-41.14352	-102.0362
49.6875	-40.93959	-101.0198
50	-40.99756	-101.5787
50.3125	-40.55786	-101.778
50.625	-40.50986	-103.439
50.9375	-40.71912	-102.5163
51.25	-40.37477	-102.836
51.5625	-40.25745	-105.2627
51.875	-40.09357	-104.0267
52.1875	-40.00433	-102.0287
52.5	-39.64013	-100.4162
52.8125	-39.83632	-100.9031
53.125	-39.29945	-100.4413
53.4375	-39.65761	-102.6916
53.75	-39.28363	-102.3791
54.0625	-39.00423	-101.6542
54.375	-39.06845	-98.57442
54.6875	-38.82512	-102.0607
55	-38.83672	-100.8883
55.3125	-38.57879	-101.5026
55.625	-38.63928	-101.436
55.9375	-38.0922	-100.6101
56.25	-38.01255	-102.4076
56.5625	-37.90934	-102.8542
56.875	-37.96053	-103.8216
57.1875	-37.53722	-103.4045
57.5	-37.51094	-101.5374
57.8125	-37.35731	-104.1967
58.125	-37.13808	-104.0179
58.4375	-37.27312	-105.5904
58.75	-37.0645	-105.5264
59.0625	-37.22558	-104.5161
59.375	-37.02944	-106.4965
59.6875	-36.876	-106.5004
60	-37.38306	-107.8881
60.3125	-36.91215	-106.1639
60.625	-37.27696	-105.6919
60.9375	-37.25454	-105.4729
61.25	-37.05876	-104.2723
61.5625	-37.01454	-103.6903
61.875	-36.67261	-103.1364
62.1875	-36.53154	-103.5667
62.5	-36.15425	-103.7961
62.8125	-36.12083	-101.3762
63.125	-35.73233	-103.3923
63.4375	-35.64309	-101.5284
63.75	-35.40231	-103.9406
64.0625	-35.24441	-102.7131
64.375	-35.61977	-104.2197
64.6875	-35.60144	-106.5282
65	-35.01089	-105.428
65.3125	-34.83573	-102.8647
65.625	-34.9837	-102.659
65.9375	-35.18599	-103.6563
66.25	-34.94531	-105.9316
66.5625	-34.47551	-104.8179
66.875	-34.39393	-102.0936
67.1875	-34.46694	-104.1943
67.5	-33.99731	-104.5905
67.8125	-34.20081	-104.5228
68.125	-33.84331	-104.2675
68.4375	-33.72985	-102.9706
68.75	-33.48493	-104.4213
69.0625	-33.3221	-103.7477
69.375	-33.16179	-106.3415
69.6875	-33.09442	-106.4168
70	-33.03382	-106.5934
70.3125	-32.96593	-105.5786
70.625	-32.97217	-105.8214
70.9375	-32.73449	-104.754
71.25	-32.76679	-104.7707
71.5625	-32.24626	-103.6855
71.875	-32.27768	-105.4032
72.1875	-32.00911	-104.8154
72.5	-31.82742	-106.1158
72.8125	-31.62304	-105.3145
73.125	-31.3323	-104.6081
73.4375	-31.1103	-105.7018
73.75	-30.95485	-105.7283
74.0625	-30.79954	-105.1998
74.375	-30.662	-106.657
74.6875	-30.4866	-106.9382
75	-30.27093	-108.1107
75.3125	-29.92357	-108.0691
75.625	-29.83107	-109.684
75.9375	-29.53912	-109.8412
76.25	-29.40839	-109.4171
76.5625	-29.20413	-110.0234
76.875	-29.16273	-111.3412
77.1875	-28.79547	-112.0739
77.5	-28.59699	-112.8779
77.8125	-28.44578	-113.67
78.125	-28.17094	-114.4021
78.4375	-27.95907	-116.3304
78.75	-27.82978	-117.1079
79.0625	-27.59267	-118.4826
79.375	-27.26312	-119.3943
79.6875	-27.12526	-121.0984
80	-26.9599	-122.9155
80.3125	-26.84886	-124.441
80.625	-26.64447	-125.6506
80.9375	-26.55747	-127.4576
81.25	-26.44312	-128.7597
81.5625	-26.34713	-131.2187
81.875	-26.18078	-131.8494
82.1875	-26.17756	-134.0287
82.5	-26.04419	-136.2285
82.8125	-26.00266	-137.3919
83.125	-25.87622	-139.4567
83.4375	-25.62592	-141.0442
83.75	-25.48107	-143.9468
84.0625	-25.40524	-146.6227
84.375	-25.32722	-149.7987
84.6875	-25.34816	-153.7268
85	-25.2576	-157.578
85.3125	-25.39823	-161.2268
85.625	-25.56245	-166.9004
85.9375	-25.92819	-171.8701
86.25	-26.46104	-176.0901
86.5625	-27.15244	-179.6905
86.875	-28.16925	174.5725
87.1875	-29.20588	173.1336
87.5	-30.22935	174.7457
87.8125	-31.63972	176.8461
88.125	-32.61399	177.9204
88.4375	-33.0768	-176.0671
88.75	-33.79287	-172.2207
89.0625	-34.23484	-167.7098
89.375	-34.49817	-158.504
89.6875	-34.9999	-158.6949
90	-34.50686	-148.5687
90.3125	-34.75772	-143.9228
90.625	-34.18443	-138.4411
90.9375	-33.92147	-137.2128
91.25	-33.16061	-136.3666
91.5625	-32.81349	-132.8071
91.875	-32.5448	-130.7558
92.1875	-32.24413	-131.1165
92.5	-31.86799	-130.5757
92.8125	-31.38952	-131.5917
93.125	-31.1396	-131.4172
93.4375	-30.98561	-133.3115
93.75	-30.75212	-134.1013
94.0625	-30.82649	-134.4618
94.375	-30.85014	-135.845
94.6875	-31.21778	-136.202
95	-31.32832	-135.8505
95.3125	-31.43835	-135.2109
95.625	-31.53557	-133.2647
95.9375	-31.56367	-131.4846
96.25	-31.88446	-130.3609
96.5625	-31.6889	-129.1196
96.875	-31.99531	-127.4972
97.1875	-31.88454	-122.7546
97.5	-31.79127	-120.9153
97.8125	-31.10499	-119.9891
98.125	-31.18667	-118.7656
98.4375	-30.91785	-115.979
98.75	-30.83987	-115.58
99.0625	-30.39658	-114.1903
99.375	-30.22482	-112.3305
99.6875	-30.08602	-112.0914
100	-29.73641	-111.7068
100.3125	-29.49028	-111.25
100.625	-29.24902	-110.4754
100.9375	-29.10674	-109.4639
101.25	-28.90137	-110.2014
101.5625	-28.70413	-109.2824
101.875	-28.50385	-108.1774
102.1875	-28.29946	-107.8355
102.5	-28.127	-107.2021
102.8125	-27.93266	-107.5611
103.125	-27.63339	-106.4065
103.4375	-27.51956	-106.5694
103.75	-27.2331	-105.7639
104.0625	-27.05453	-105.3693
104.375	-26.83406	-106.0031
104.6875	-26.66002	-105.0314
105	-26.44444	-105.124
105.3125	-26.23645	-105.408
105.625	-25.9437	-104.5541
105.9375	-25.80266	-104.9427
106.25	-25.58426	-104.6739
106.5625	-25.49465	-104.3813
106.875	-25.26793	-104.0603
107.1875	-25.13671	-104.6432
107.5	-24.73201	-103.7652
107.8125	-24.74015	-104.3401
108.125	-24.4342	-105.3604
108.4375	-24.1292	-103.3535
108.75	-24.14549	-103.1257
109.0625	-23.95316	-105.2415
109.375	-23.53814	-104.5592
109.6875	-23.45228	-104.2989
110	-23.38812	-105.1836
110.3125	-23.02599	-105.2604
110.625	-22.87971	-104.234
110.9375	-22.86983	-105.7202
111.25	-22.49068	-106.281
111.5625	-22.48305	-105.6187
111.875	-22.28222	-106.4692
112.1875	-22.13609	-106.1282
112.5	-22.01353	-106.9358
112.8125	-21.90926	-106.9109
113.125	-21.78381	-107.7819
113.4375	-21.6981	-106.6754
113.75	-21.60147	-107.1644
114.0625	-21.47115	-107.1354
114.375	-21.40743	-107.2333
114.6875	-21.31312	-106.5938
115	-21.15386	-105.4903
115.3125	-20.93742	-104.9785
115.625	-20.62653	-105.2557
115.9375	-20.40064	-105.8651
116.25	-20.28704	-107.0508
116.5625	-20.35392	-106.9419
116.875	-20.38505	-105.5919
117.1875	-20.16559	-104.798
117.5	-19.97798	-103.6175
117.8125	-19.74862	-103.4345
118.125	-19.53262	-102.753
118.4375	-19.27737	-101.7398
118.75	-19.11681	-102.3759
119.0625	-18.83749	-101.8497
119.375	-18.62538	-102.286
119.6875	-18.41804	-101.6962
120	-18.19155	-101.3724
120.3125	-18.04411	-100.9328
120.625	-17.75938	-100.6712
120.9375	-17.48096	-100.2348
121.25	-17.21695	-100.2858
121.5625	-16.94257	-100.1079
121.875	-16.71892	-100.3496
122.1875	-16.44689	-100.5481
122.5	-16.23984	-100.4243
122.8125	-16.04657	-100.2736
123.125	-15.8234	-100.5515
123.4375	-15.56428	-100.5226
123.75	-15.34995	-100.5858
124.0625	-15.12515	-100.3414
124.375	-14.8763	-99.70177
124.6875	-14.62769	-99.61038
125	-14.32555	-99.16486
125.3125	-14.0227	-99.22877
125.625	-13.74252	-98.72224
125.9375	-13.40221	-98.57018
126.25	-13.07434	-98.81134
126.5625	-12.78428	-98.6828
126.875	-12.42926	-98.90724
127.1875	-12.12644	-98.93903
127.5	-11.76226	-98.93914
127.8125	-11.45456	-99.14619
128.125	-11.1095	-99.35563
128.4375	-10.76511	-99.3873
128.75	-10.41869	-99.5468
129.0625	-10.12676	-99.84322
129.375	-9.713552	-100.0013
129.6875	-9.365526	-99.74288
130	-8.978418	-99.80785
130.3125	-8.562386	-99.93149
130.625	-8.134733	-100.1153
130.9375	-7.710591	-100.3181
131.25	-7.247576	-100.5392
131.5625	-6.781921	-100.6132
131.875	-6.311163	-101.0371
132.1875	-5.814823	-101.6634
132.5	-5.300346	-102.0423
132.8125	-4.776609	-102.3795
133.125	-4.215534	-102.6281
133.4375	-3.63128	-103.2487
133.75	-2.993495	-103.9789
134.0625	-2.342701	-104.4644
134.375	-1.633896	-105.1208
134.6875	-0.8842391	-106.2911
135	-0.09067284	-107.5043
135.3125	0.7440842	-108.7991
135.625	1.696702	-109.964
135.9375	2.741632	-112.0267
136.25	3.862766	-114.3572
136.5625	5.084259	-117.5688
136.875	6.431582	-121.8731
137.1875	7.952822	-126.7887
137.5	9.702899	-133.945
137.8125	11.63018	-145.1578
138.125	13.39696	-161.9879
138.4375	14.39908	175.3342
138.75	14.1297	151.134
139.0625	12.68402	130.2255
139.375	10.55172	115.3809
139.6875	8.360336	106.9352
140	6.538363	102.8173
140.3125	5.107996	100.1024
140.625	3.903757	98.23957
140.9375	2.805079	96.69852
141.25	1.838587	95.66695
141.5625	0.996643	95.0983
141.875	0.2611764	94.52288
142.1875	-0.4223988	93.9828
142.5	-1.062354	93.64371
142.8125	-1.647159	93.49929
143.125	-2.173254	93.3653
143.4375	-2.647762	93.33543
143.75	-3.085429	93.18815
144.0625	-3.528785	93.04436
144.375	-3.903308	93.08869
144.6875	-4.267614	93.05854
145	-4.611499	93.03286
145.3125	-4.930715	92.90013
145.625	-5.254384	92.95747
145.9375	-5.522553	93.0598
146.25	-5.785966	92.98985
146.5625	-6.05698	93.05711
146.875	-6.300104	92.84517
147.1875	-6.539364	92.77595
147.5	-6.756188	92.96873
147.8125	-6.973223	92.87547
148.125	-7.184332	92.75435
148.4375	-7.385036	92.71214
148.75	-7.576672	92.69229
149.0625	-7.749839	92.8346
149.375	-7.923445	92.68949
149.6875	-8.124229	92.84959
150	-8.268141	92.51509
150.3125	-8.426532	92.61033
150.625	-8.571779	92.6435
150.9375	-8.754386	92.55941
151.25	-8.853926	92.58057
151.5625	-9.010266	92.70905
151.875	-9.151031	92.13586
152.1875	-9.235147	92.67278
152.5	-9.411661	92.8363
152.8125	-9.516141	92.45683
153.125	-9.58311	92.54447
153.4375	-9.784585	92.30845
153.75	-9.853928	91.92326
154.0625	-9.9502	92.58602
154.375	-10.10052	92.40132
154.6875	-10.13139	92.32621
155	-10.27504	92.16253
155.3125	-10.35945	91.97655
155.625	-10.4643	92.39243
155.9375	-10.53963	92.36378
