Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
0.3125	-77.61297	105.604
0.625	-78.37486	49.75091
0.9375	-78.75706	23.84756
1.25	-75.89761	-8.528415
1.5625	-75.743	-37.94397
1.875	-75.44016	-17.2965
2.1875	-78.88841	-10.72401
2.5	-75.06352	-39.91483
2.8125	-74.93214	-74.15298
3.125	-77.4716	-52.32186
3.4375	-74.5124	-51.77696
3.75	-77.64172	-43.83609
4.0625	-74.26127	-58.10687
4.375	-76.07339	-49.69467
4.6875	-79.36049	-15.5288
5	-75.24518	-53.39253
5.3125	-82.3922	-43.84287
5.625	-77.01422	0.3108152
5.9375	-74.54552	-37.74321
6.25	-74.7392	-8.005732
6.5625	-75.29299	82.43857
6.875	-79.11089	-11.17877
7.1875	-74.11456	51.58862
7.5	-73.25307	46.97151
7.8125	-74.72978	56.72531
8.125	-71.96586	84.92619
8.4375	-71.34214	59.28456
8.75	-69.23911	67.87377
9.0625	-67.32972	68.57151
9.375	-71.4771	69.39261
9.6875	-66.03217	87.78018
10	-65.72694	82.77316
10.3125	-63.86183	77.76904
10.625	-63.11737	79.453
10.9375	-61.58198	79.88453
11.25	-60.63082	86.29961
11.5625	-60.6046	87.64851
11.875	-59.352	94.67696
12.1875	-59.02442	87.17259
12.5	-58.79109	80.69455
12.8125	-57.51206	82.90202
13.125	-56.90053	87.29414
13.4375	-56.17437	93.13665
13.75	-54.67143	88.76493
14.0625	-53.87501	88.06563
14.375	-53.16627	88.68552
14.6875	-52.36934	90.72873
15	-51.65024	90.22251
15.3125	-49.71449	86.77312
15.625	-49.09305	86.11739
15.9375	-47.98606	80.68588
16.25	-47.06541	75.69474
16.5625	-46.41457	67.64748
16.875	-47.90704	59.2618
17.1875	-49.35393	69.70927
17.5	-48.1806	81.57989
17.8125	-46.14388	87.42252
18.125	-44.69652	90.14598
18.4375	-43.39084	90.00224
18.75	-41.90625	90.64603
19.0625	-39.96809	90.53647
19.375	-38.2541	88.06713
19.6875	-36.70845	85.81014
20	-34.42096	84.18925
20.3125	-31.99892	82.40455
20.625	-29.03513	78.90752
20.9375	-25.10752	73.34887
21.25	-18.74599	59.60813
21.5625	-11.41514	-36.14581
21.875	-21.34359	-76.06608
22.1875	-25.59007	-82.99405
22.5	-28.0385	-85.61804
22.8125	-29.61812	-86.84931
23.125	-30.68707	-88.45087
23.4375	-31.47191	-91.13403
23.75	-32.09195	-91.63915
24.0625	-32.36889	-94.59846
24.375	-32.49415	-97.86907
24.6875	-32.57371	-101.3054
25	-32.48619	-104.7362
25.3125	-32.45875	-112.2226
25.625	-32.36534	-116.6962
25.9375	-32.49791	-124.2838
26.25	-32.75844	-135.0973
26.5625	-33.16978	-142.8486
26.875	-34.43368	-151.6254
27.1875	-35.84476	-158.0954
27.5	-37.37004	-161.742
27.8125	-38.94654	-161.2441
28.125	-40.2091	-157.8134
28.4375	-41.31592	-149.7726
28.75	-41.22252	-139.8688
29.0625	-40.40311	-132.1156
29.375	-39.3315	-128.7993
29.6875	-37.77571	-128.3685
30	-35.88715	-130.7738
30.3125	-33.9423	-141.3255
30.625	-32.25619	-160.5362
30.9375	-32.41887	163.4433
31.25	-36.98159	134.369
31.5625	-46.48952	138.2624
31.875	-41.93636	-156.5739
32.1875	-38.07682	177.2553
32.5	-39.35561	152.1031
