Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
0.3125	-76.51805	-37.17399
0.625	-72.22098	-60.91349
0.9375	-71.51987	-75.06909
1.25	-69.5974	-76.64045
1.5625	-68.11913	-90.56427
1.875	-67.71795	-96.44585
2.1875	-66.15447	-112.6515
2.5	-65.82845	-106.7873
2.8125	-64.81991	-108.9636
3.125	-64.22411	-115.29
3.4375	-64.08885	-119.7384
3.75	-63.20109	-116.7508
4.0625	-63.03157	-120.4032
4.375	-62.08023	-126.8906
4.6875	-63.12909	-129.8281
5	-63.43796	-129.3457
5.3125	-61.83696	-136.2524
5.625	-61.84026	-126.2622
5.9375	-62.81118	-138.7335
6.25	-62.52569	-132.838
6.5625	-62.53969	-138.3347
6.875	-61.05587	-140.5904
7.1875	-62.71393	-140.2264
7.5	-61.53241	-147.0157
7.8125	-62.40852	-144.3604
8.125	-62.06295	-142.9416
8.4375	-62.09079	-150.1866
8.75	-62.11514	-153.3243
9.0625	-63.53218	-150.4086
9.375	-61.42447	-154.5135
9.6875	-62.41656	-159.0685
10	-62.17118	-158.7874
10.3125	-63.59614	-169.9775
10.625	-62.63347	-171.7603
10.9375	-61.87386	-163.9806
11.25	-62.37191	-179.0367
11.5625	-64.07384	176.9787
11.875	-62.46908	163.9416
12.1875	-62.78178	163.0325
12.5	-63.97688	126.9599
12.8125	-64.42283	173.3298
13.125	-62.67569	160.4807
13.4375	-61.77484	146.6794
13.75	-59.85579	139.2483
14.0625	-61.70364	133.6132
14.375	-58.89413	124.9555
14.6875	-59.15565	115.9586
15	-57.19145	112.8649
15.3125	-55.60711	111.0529
15.625	-53.59821	98.77333
15.9375	-51.96899	87.47746
16.25	-51.47066	76.60606
16.5625	-51.57259	59.98846
16.875	-52.05418	46.55775
17.1875	-55.80469	65.96748
17.5	-53.86698	83.65018
17.8125	-52.04613	84.92574
18.125	-49.56825	88.15257
18.4375	-47.72776	86.2417
18.75	-46.00288	86.02119
19.0625	-44.30976	83.96785
19.375	-42.33861	80.63673
19.6875	-40.28809	80.692
20	-38.31177	78.66064
20.3125	-36.46976	76.15862
20.625	-34.67028	73.13112
20.9375	-32.01178	69.56376
21.25	-29.11656	65.70968
21.5625	-25.71235	58.37699
21.875	-21.26436	45.92506
22.1875	-16.33212	9.570374
22.5	-15.34614	-46.04568
22.8125	-19.67632	-87.41753
23.125	-23.55466	-95.87132
23.4375	-25.78578	-102.857
23.75	-27.27826	-105.2233
24.0625	-28.46974	-107.1325
24.375	-29.47849	-110.5778
24.6875	-30.31463	-112.2766
25	-30.68976	-114.9899
25.3125	-31.18893	-118.0035
25.625	-31.42689	-120.9797
25.9375	-31.51492	-124.3428
26.25	-31.84429	-128.7204
26.5625	-32.17471	-134.2075
26.875	-32.84563	-142.3508
27.1875	-33.9583	-147.2756
27.5	-35.14397	-150.5094
27.8125	-37.04483	-151.9265
28.125	-38.42891	-142.7678
28.4375	-38.71253	-133.9879
28.75	-38.15814	-124.4317
29.0625	-37.39664	-120.7236
29.375	-36.3231	-118.5143
29.6875	-34.83653	-120.245
30	-33.53754	-125.0217
30.3125	-32.0262	-133.1423
30.625	-30.32402	-149.0028
30.9375	-29.87151	179.3322
31.25	-34.75954	153.1011
31.5625	-40.00358	153.0309
31.875	-42.77222	-167.4842
32.1875	-38.53739	-164.9708
