Frequency	Magnitude	Phase
0.3125	-70.73724	144.0724
0.625	-75.89343	-21.76664
0.9375	-68.61331	-13.21334
1.25	-69.1752	-19.39608
1.5625	-64.6221	-67.49678
1.875	-69.65507	99.32787
2.1875	-64.62662	-59.45892
2.5	-67.84117	-132.8854
2.8125	-66.33426	-128.2494
3.125	-73.43254	-91.02406
3.4375	-63.8633	-104.583
3.75	-67.11523	-163.4474
4.0625	-69.4817	-125.8706
4.375	-67.51192	-113.7139
4.6875	-69.12984	-122.9185
5	-65.88487	-154.6936
5.3125	-67.79794	138.712
5.625	-66.11982	-128.0817
5.9375	-66.40578	34.49495
6.25	-65.60585	-170.5098
6.5625	-66.62118	-129.8616
6.875	-68.38361	-136.4494
7.1875	-67.1865	-123.7417
7.5	-68.28389	-103.7275
7.8125	-64.93072	169.1759
8.125	-66.49104	-174.3829
8.4375	-67.69046	-97.83133
8.75	-71.61317	140.2961
9.0625	-63.61479	160.2872
9.375	-64.86501	-91.93011
9.6875	-66.11688	-80.32549
10	-65.27571	126.2254
10.3125	-64.47044	165.0545
10.625	-66.81495	-2.316011
10.9375	-65.88882	116.8978
11.25	-62.79758	148.9569
11.5625	-64.48436	127.7072
11.875	-62.86749	106.6805
12.1875	-62.80966	104.8099
12.5	-60.15286	68.9712
12.8125	-65.64721	127.3075
13.125	-62.28112	144.2263
13.4375	-65.06487	90.14565
13.75	-61.62209	98.75021
14.0625	-59.44896	114.3926
14.375	-60.26213	95.35717
14.6875	-59.67022	92.44052
15	-56.93673	82.48244
15.3125	-52.50909	83.98482
15.625	-55.94274	82.79916
15.9375	-52.98685	76.10853
16.25	-53.0786	59.81903
16.5625	-49.77603	53.28923
16.875	-52.67207	39.77223
17.1875	-55.16842	47.12849
17.5	-56.42757	84.57727
17.8125	-51.47224	73.78488
18.125	-50.01786	78.66172
18.4375	-49.09771	88.78526
18.75	-46.27441	81.99438
19.0625	-44.20295	79.08644
19.375	-43.6263	78.86631
19.6875	-41.69781	77.90631
20	-39.42842	76.22671
20.3125	-37.68964	71.77404
20.625	-35.38184	67.25115
20.9375	-33.3349	64.57003
21.25	-30.53196	58.67373
21.5625	-27.15396	52.98076
21.875	-22.08199	38.77929
22.1875	-18.26025	-18.83268
22.5	-21.32913	-55.56212
22.8125	-23.79381	-76.51582
23.125	-25.96278	-89.549
23.4375	-27.64122	-95.88683
23.75	-29.40694	-102.2958
24.0625	-30.45224	-107.9511
24.375	-31.29456	-108.8984
24.6875	-32.07156	-113.5408
25	-32.32637	-115.839
25.3125	-32.84628	-118.7399
25.625	-33.19069	-123.8071
25.9375	-33.2481	-128.7144
26.25	-33.75891	-133.7758
26.5625	-33.86963	-141.814
26.875	-34.7131	-150.3629
27.1875	-35.69346	-158.6611
27.5	-38.43132	-168.7739
27.8125	-41.22429	-164.256
28.125	-42.78983	-150.6049
28.4375	-43.89745	-137.1571
28.75	-41.637	-128.7273
29.0625	-40.54225	-122.826
29.375	-39.78674	-122.8535
29.6875	-38.05558	-125.4758
30	-36.44356	-131.9638
30.3125	-34.63551	-138.5865
30.625	-32.37152	-162.3466
30.9375	-32.75415	146.6363
31.25	-43.25199	130.8269
31.5625	-48.0545	176.4915
31.875	-44.88544	-161.4978
32.1875	-42.85002	-173.3817
32.5	-42.97522	165.9086
32.8125	-46.6469	154.8742
33.125	-50.36429	171.0092
33.4375	-49.68822	178.2865
33.75	-50.14302	-174.3337
34.0625	-49.77369	-162.2018
34.375	-50.67508	-142.0498
34.6875	-50.21609	-135.0816
35	-50.23908	-140.3313
35.3125	-49.41898	-136.1331
35.625	-50.66826	-135.6295
35.9375	-50.06656	-137.5997
36.25	-49.71771	-127.5455
36.5625	-50.12952	-129.5563
36.875	-48.57547	-130.69
37.1875	-50.92764	-123.3821
37.5	-49.67007	-128.61
37.8125	-48.20393	-133.6015
38.125	-50.28609	-121.245
38.4375	-48.2999	-118.6178
38.75	-47.56457	-126.8666
39.0625	-47.2779	-116.7666
39.375	-47.86856	-125.4257
39.6875	-47.15972	-121.865
40	-46.9054	-105.7904
40.3125	-47.68959	-93.28584
40.625	-45.4288	-108.5529
40.9375	-47.34436	-133.0506
41.25	-46.82768	-129.4333
41.5625	-47.28214	-122.7956
41.875	-46.07611	-116.2379
42.1875	-47.69268	-111.3049
42.5	-47.18375	-119.9758
42.8125	-46.33883	-113.967
43.125	-45.86423	-112.3404
43.4375	-45.14069	-115.9097
43.75	-46.29747	-109.4653
44.0625	-45.63596	-115.7012
44.375	-44.56396	-116.0218
44.6875	-45.23193	-112.5821
45	-44.83247	-117.3287
45.3125	-45.35767	-122.9346
45.625	-46.63353	-119.4284
45.9375	-45.34497	-121.025
46.25	-48.75508	-116.0491
46.5625	-47.83038	-110.7362
46.875	-46.86734	-115.3422
47.1875	-46.7276	-107.5698
47.5	-46.2464	-102.5147
47.8125	-45.13739	-103.981
48.125	-44.25738	-103.5738
48.4375	-46.02057	-99.78082
48.75	-45.17106	-103.8815
49.0625	-44.33783	-105.912
49.375	-44.31771	-101.309
49.6875	-44.69888	-104.1016
50	-43.74638	-104.4938
50.3125	-43.07744	-95.38722
50.625	-43.88641	-99.87894
50.9375	-44.22795	-92.4532
51.25	-43.47121	-104.5878
51.5625	-43.35733	-101.7686
51.875	-42.48599	-98.7771
52.1875	-42.89899	-95.08336
52.5	-43.32781	-99.50488
52.8125	-42.507	-99.0364
53.125	-42.56006	-98.92637
53.4375	-41.71095	-94.40472
53.75	-42.23913	-97.41825
54.0625	-41.52282	-95.23906
54.375	-41.51577	-99.81306
54.6875	-42.32636	-99.17128
55	-41.78191	-101.2348
55.3125	-41.94238	-96.57349
55.625	-41.34273	-98.28085
55.9375	-41.06185	-104.427
56.25	-41.44915	-101.2302
56.5625	-41.01475	-103.6119
56.875	-40.80819	-95.51994
57.1875	-40.54523	-97.05524
57.5	-39.79031	-97.99243
57.8125	-39.81751	-99.13633
58.125	-39.98037	-99.46238
58.4375	-39.98561	-101.8512
58.75	-39.16425	-97.86814
59.0625	-39.81335	-100.9361
59.375	-39.10738	-103.2269
59.6875	-39.19108	-101.6859
60	-39.3883	-97.73451
60.3125	-39.32839	-106.014
60.625	-38.94689	-103.9754
60.9375	-38.79835	-104.4316
61.25	-38.79633	-102.7129
61.5625	-39.08972	-104.9844
61.875	-38.69064	-101.5841
62.1875	-38.4866	-103.1986
62.5	-38.79734	-102.5909
62.8125	-38.75428	-102.6662
63.125	-38.47715	-104.2824
63.4375	-38.48134	-102.7864
63.75	-38.24319	-104.7918
64.0625	-37.95155	-103.5461
64.375	-38.32361	-104.2775
64.6875	-37.50467	-100.4004
65	-38.00106	-103.518
65.3125	-36.98353	-106.194
65.625	-37.34213	-103.9238
65.9375	-36.78075	-102.1033
66.25	-36.67395	-100.8417
66.5625	-36.87549	-105.5335
66.875	-36.84213	-103.0278
67.1875	-36.49121	-101.5148
67.5	-36.14814	-103.0112
67.8125	-36.43175	-102.6939
68.125	-35.66855	-100.7741
68.4375	-35.63421	-105.6491
68.75	-35.49024	-103.6912
69.0625	-35.56144	-106.694
69.375	-35.10434	-105.0903
69.6875	-35.25785	-106.9843
70	-34.98331	-108.0282
70.3125	-35.06777	-105.671
70.625	-34.60255	-107.6336
70.9375	-34.65503	-106.6964
71.25	-34.3064	-107.3544
71.5625	-34.07445	-107.8777
71.875	-33.9736	-108.5447
72.1875	-33.75505	-107.4602
72.5	-33.90671	-110.7668
72.8125	-33.17707	-107.6259
73.125	-33.49057	-110.0559
73.4375	-33.41578	-113.2394
73.75	-32.77805	-111.3801
74.0625	-32.40479	-111.176
74.375	-32.44857	-111.3217
74.6875	-32.00069	-114.8833
75	-31.88876	-113.013
75.3125	-31.81708	-112.3692
75.625	-31.59375	-116.1305
75.9375	-31.2508	-118.3518
76.25	-31.31026	-117.6456
76.5625	-31.12667	-119.7673
76.875	-30.7946	-120.5239
