Expression,d,run,seed,train_mse,test_mse,expr
P2,2,0,0,1.2363877721166625e-11,3.9245060179382564e-10,1.60000004432493*X1**2 + 0.509999767042429*X1*X2 - 0.519999807105059*X1 + 1.04000007907718*X2**2 + 2.63999953623537*X2 - 2.95000009728513
P2,2,1,1,1.3005261979370884e-11,6.303598638623953e-10,1.59999990937729*X1**2 + 0.509999676454756*X1*X2 - 0.519999947477201*X1 + 1.03999998144571*X2**2 + 2.63999979896711*X2 - 2.94999929465608
P2,2,2,2,1.506028994314188e-11,5.632464308291674e-10,1.59999991071762*X1**2 + 0.510000155972919*X1*X2 - 0.520000015110565*X1 + 1.03999981749803*X2**2 + 2.64000014494388*X2 - 2.95000028188093
P2,2,3,3,1.0676143370145228e-10,4.193076165392995e-09,1.59999934050315*X1**2 + 0.509999755849371*X1*X2 - 0.519999837037879*X1 + 1.03999964393385*X2**2 + 2.6399995296527*X2 - 2.94999997340601
P2,2,4,4,7.154845761919802e-12,2.3773463908582925e-10,1.59999999307531*X1**2 + 0.510000119911901*X1*X2 - 0.520000090006516*X1 + 1.03999996911557*X2**2 + 2.6400003626878*X2 - 2.95000010928023
P2,4,0,0,8.735537711246355e-11,3.496606950648129e-09,2.614982e-9*X1**2*X2 + 1.59999942799053*X1**2 + 9.5705e-11*X1*X2**2 + 0.509999868009525*X1*X2 - 0.519999974014542*X1 + 8.76e-13*X2**3 + 1.03999971115242*X2**2 + 2.63999985190217*X2 - 2.95000017089645
P2,4,1,1,6.162505131190876e-12,2.2047606762498617e-10,1.59999997638398*X1**2 + 0.510000025466766*X1*X2 - 0.520000091365027*X1 + 1.04000002224764*X2**2 + 2.63999994568732*X2 - 2.95000010182349
P2,4,2,2,7.104436552940463e-12,3.241584636271e-10,1.59999986435077*X1**2 + 0.510000034418691*X1*X2 - 0.520000019419687*X1 + 1.03999995891517*X2**2 + 2.64000014019493*X2 - 2.94999950460284
P2,4,3,3,1.5780487541694478e-11,4.280154826119542e-10,1.59999998883685*X1**2 + 0.509999780669345*X1*X2 - 0.520000379535135*X1 + 1.03999991922422*X2**2 + 2.6399996073222*X2 - 2.95000046025954
P2,4,4,4,8.951834402914915e-11,2.9958173399791123e-09,1.59999940670337*X1**2 + 0.510000132663846*X1*X2 - 0.519999620074202*X1 + 1.03999973232748*X2**2 + 2.63999932481823*X2 - 2.94999997088183
