Expression,d,run,seed,train_mse,test_mse,run_time_s,expr
P3,2,0,0,5.036871782442221,704.4802217080157,7.189524894580245,(3.777500 + ((-0.679299) * (((((0.872051 * X1) - (2.481655 * X2)) + ((((((-1.364925) * X1) - (2.481655 * X2)) - (((2.349683 * X1) ^ 2) * (0.632357 * X1))) + ((((-0.575599) * X1) - (2.481655 * X2)) * (((-1.191392) * X2) ^ 2))) - (((1.342459 * X1) - (1.772454 * X2)) + ((((1.442695 * X1) - (1.772454 * X2)) ^ 2) + (1.169862 * X1))))) - (((((-0.575599) * X1) ^ 2) + ((-1.191392) * X2)) * (((-0.383579) * X2) + ((-0.559418) * X1)))) + ((0.872051 * X1) - ((((-1.280616) * X1) - (2.481655 * X2)) * (((-0.575599) * X1) ^ 2))))))
P3,2,1,1,12.210510283001453,3110.696821168746,7.086398670449853,(1.301806 + (4.768557 * ((((((0.499039 * X1) ^ 2) * (1.232148 * X1)) + ((0.146395 * X1) + ((0.499039 * X1) ^ 2))) + (((0.675478 * ((-0.754757) * X2)) * (((0.146395 * X1) + ((0.499039 * X1) ^ 2)) + (1.232148 * X1))) - ((0.675478 * ((-0.754757) * X2)) * ((((0.146395 * X1) + (0.813939 * X2)) + 0.675478) ^ 2)))) - ((-0.568963) * (((((0.499039 * X1) ^ 2) + (0.199532 * X1)) * (0.793678 * X1)) - ((0.675478 * ((-0.754757) * X2)) * ((((-0.754757) * X2) + 0.070834) ^ 2)))))))
P3,2,2,2,9.765281154061007,1005.6920308037328,7.159731009975076,(13.159865 + (1.860893 * ((((0.568442 * X2) ^ 2) - (((-0.873845) * X2) - (-0.688603))) + ((((((-0.998047) * X2) ^ 2) + (((-0.501322) * X1) ^ 2)) + (0.434294 * X1)) - (((((-0.873845) * X2) - (-0.688603)) * (((-1.926517) * X1) - (((-0.620770) * X1) ^ 2))) - ((((-0.501322) * X1) ^ 2) - (((2.106409 ^ 2) - ((((-0.998047) * X2) ^ 2) * ((0.296946 * X1) + (1.298923 * X2)))) - (((0.830885 * X1) + (3.141593 * X1)) * (((-0.501322) * X1) ^ 2)))))))))
P3,2,3,3,3.357558787958904,974.2428542915471,6.726484056562185,(1.517163 + ((-1.232643) * ((((((-0.344452) * X1) + ((((-0.344452) * X1) + ((-0.300257) * X2)) * ((-0.075428) * X1))) - ((((1.856720 * X1) + ((1.856720 * X1) ^ 2)) + ((1.414214 * X2) + ((1.856720 * X1) ^ 2))) * ((-0.075428) * X2))) - ((((0.997794 * X2) - (((-0.292017) * X1) + ((-0.300257) * X2))) * (((-1.230550) * X2) ^ 2)) - (((1.856720 * X1) ^ 2) * ((-0.469717) * X1)))) - ((((-0.344452) * X1) * ((-2.197259) * X1)) + ((((0.739215 * X1) - (1.471706 * X2)) ^ 2) + ((0.997794 * X2) - (((-0.344452) * X1) + ((-0.300257) * X2))))))))
P3,2,4,4,4.864055463355363,1652.8887642027983,7.376971513032913,(7.228661 + (4.444478 * (((((((-0.381930) * X2) - ((-0.401262) * X1)) ^ 2) - (((0.258602 * X2) * ((-0.858788) * X2)) * ((1.247042 * X2) + (1.397057 * X1)))) + ((((((-0.456250) * X2) - ((-0.401262) * X1)) ^ 2) - ((-1.284901) * X2)) + ((((((-0.456250) * X2) - ((-0.401262) * X1)) ^ 2) * ((1.276184 * X2) + (1.344665 * X1))) + (((-0.456250) * X2) - ((-0.401262) * X1))))) - ((((0.258602 * X2) * ((-0.858788) * X2)) + ((0.258602 * X2) + 1.054922)) - (((0.307693 * X1) ^ 2) * ((1.276184 * X2) - ((-2.316550) * X1)))))))
P3,4,0,0,9.05573857575973,39052.216029096635,7.05831597186625,(1.832587 + ((-18.927765) * (((((((((-0.575599) * X1) ^ 2) ^ 2) * ((-0.307009) * X1)) - (((6.283185 * X2) + (1.772454 * X1)) * (((-0.687846) * X1) ^ 2))) + ((((-0.687846) * X1) ^ 2) + (((1.772454 * X1) + ((6.283185 * X2) + (((-0.687846) * X1) ^ 2))) + ((((1.056694 * X1) + ((-1.272371) * X2)) * ((-1.536574) ^ 2)) ^ 2)))) * (-0.011258)) + (((((-0.575599) * X1) ^ 2) * ((-0.369745) * X1)) - ((((2.718282 * X2) + ((-1.536574) ^ 2)) + ((6.283185 * X2) + (2.159035 * X1))) * ((0.119223 * X2) ^ 2))))))
P3,4,1,1,10.332160166220978,2568.2448496826355,6.84815832041204,(3.059616 + ((-13.767488) * (((((0.793678 * X1) ^ 2) + ((((0.455594 * X1) ^ 2) * (0.793678 * X1)) - (((1.067938 * X2) ^ 2) * ((-0.151680) * X2)))) * 0.109353) - ((((-0.423336) * X2) ^ 2) + ((((((-0.896274) * X2) - (((1.088375 * X2) * (0.199176 * X1)) * (1.772454 * X1))) * 0.136445) - ((1.088375 * X2) * (0.199176 * X1))) + ((0.851760 * ((0.455594 * X1) ^ 2)) - ((((-0.151680) * X2) - (((0.198534 * X1) + (0.977262 * X2)) * ((0.455594 * X2) ^ 2))) - (((0.455594 * X1) ^ 2) * (0.793678 * X1)))))))))
P3,4,2,2,1.617021966178599,585.2156278738831,7.147996747866273,(1.804262 + ((-1.173578) * ((((((((-1.585397) * X2) + ((-0.410467) * X1)) * ((1.141310 * X2) ^ 2)) - (1.058497 * X1)) - (((1.772454 * X2) * ((-1.362843) * X1)) + (((-0.690402) * X2) ^ 2))) + ((-1.110112) * X2)) - (((((0.966757 * X2) ^ 2) + ((((0.312157 * X2) - (0.947325 * X1)) + (-0.695947)) * (((-0.263649) * X2) ^ 2))) + ((((0.707270 * X2) + ((-1.585397) * X2)) ^ 2) + (((-0.342107) * X1) ^ 2))) - (((1.330261 * X1) ^ 2) * (((0.312157 * X2) - (0.947325 * X1)) + (-0.695947)))))))
P3,4,3,3,4.1465695985767,1420.2676878185985,6.819217870011926,(3.105540 + ((-3.951325) * ((((((((-0.894198) - (0.797323 * X2)) * ((0.806792 * X2) ^ 2)) - ((((0.695680 * X1) ^ 2) - (0.743530 * X2)) * (0.977399 * X1))) + ((-0.584993) * X1)) - ((((-0.894198) - (0.434294 * X2)) * ((0.695680 * X1) ^ 2)) * 0.215812)) - ((0.695680 * X1) ^ 2)) - (((0.695680 * X1) - (((((((-0.543818) * X2) - (0.695680 * X1)) * ((0.806792 * X2) ^ 2)) - ((0.695680 * X1) ^ 2)) - (((-0.894198) - (0.806792 * X2)) * ((0.695680 * X1) ^ 2))) - (0.797323 * X2))) * 0.297825))))
P3,4,4,4,130.74511632581567,758814.6773067138,6.9279194585978985,(0.207165 + ((-26.212246) * (((((((-0.939846) * X2) + (-0.775482)) - (1.154503 * X2)) + (-1.148301)) * (((-0.160777) * X2) ^ 2)) + (((((-0.939846) * X1) + (-0.775482)) * (((-0.288127) * X1) ^ 2)) + (((((((-1.590783) * X2) * ((-0.159436) * X1)) + (-1.829481)) - ((((-1.102259) * X2) * (((-0.288127) * X1) ^ 2)) + (0.750806 * X1))) + ((((-0.613785) * X2) * ((((-0.288127) * X1) ^ 2) * (((-0.160777) * X2) ^ 2))) + ((-1.707459) * X2))) * (((-0.160777) * X2) ^ 2))))))
