[START] seeds=[0, 1, 2, 3, 4] max_workers=5 device=cpu csv='korns_complexeql_benchmark_results.csv' hdf5='korns_dataset_train_extrap.hdf5'
[WORKER START] seed=0 device=cpu
[WORKER START] seed=1 device=cpu
[WORKER START] seed=3 device=cpu
[WORKER START] seed=4 device=cpu
[WORKER START] seed=2 device=cpu
[WORKER] seed=0 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=0 PID_START P1
[WORKER] seed=1 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=1 PID_START P1
Random seed set as 1791095845
Random seed set as 1319712737
[WORKER] seed=4 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=3 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=4 PID_START P1
[WORKER] seed=3 PID_START P1
Random seed set as 1867650593
Random seed set as 306679169
[WORKER] seed=2 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=2 PID_START P1
Random seed set as 1211952741
[PHASE1 | Epoch 1] lr=1.00e-03, total=3.2587e+03, data=3.2587e+03, sparsity_reg=1.4304e-08, imag_w=3.8540e-09, active_edges=510
[PHASE1 | Epoch 1] lr=1.00e-03, total=3.2623e+03, data=3.2623e+03, sparsity_reg=1.4732e-08, imag_w=4.2475e-09, active_edges=510
[PHASE1 | Epoch 1] lr=1.00e-03, total=3.4982e+04, data=3.4982e+04, sparsity_reg=1.4849e-08, imag_w=4.1513e-09, active_edges=510
[PHASE1 | Epoch 1] lr=1.00e-03, total=3.2595e+03, data=3.2595e+03, sparsity_reg=1.4958e-08, imag_w=4.2582e-09, active_edges=510
[PHASE1 | Epoch 1] lr=1.00e-03, total=3.2648e+03, data=3.2648e+03, sparsity_reg=1.4653e-08, imag_w=4.0862e-09, active_edges=510
[PHASE1 | Epoch 1000] lr=1.00e-03, total=1.0043e+02, data=1.0043e+02, sparsity_reg=1.5828e-08, imag_w=2.5337e-09, active_edges=510
[PHASE1 | Epoch 1000] lr=1.00e-03, total=2.3818e-01, data=2.3818e-01, sparsity_reg=1.7432e-08, imag_w=2.5591e-09, active_edges=510
[PHASE1 | Epoch 1000] lr=1.00e-03, total=3.8860e-01, data=3.8860e-01, sparsity_reg=1.6836e-08, imag_w=2.6517e-09, active_edges=510
[PHASE1 | Epoch 1000] lr=1.00e-03, total=5.9456e+00, data=5.9456e+00, sparsity_reg=1.7999e-08, imag_w=3.8642e-09, active_edges=510
[PHASE1 | Epoch 1000] lr=1.00e-03, total=9.4803e-01, data=9.4803e-01, sparsity_reg=1.9705e-08, imag_w=3.4603e-09, active_edges=510
[PHASE1 | Epoch 2000] lr=1.00e-03, total=1.3172e+01, data=1.3172e+01, sparsity_reg=1.3840e-08, imag_w=1.9023e-09, active_edges=510
[PHASE1 | Epoch 2000] lr=1.00e-03, total=9.0309e-03, data=9.0309e-03, sparsity_reg=1.5058e-08, imag_w=1.8675e-09, active_edges=510
[PHASE1 | Epoch 2000] lr=1.00e-03, total=1.1923e-02, data=1.1923e-02, sparsity_reg=1.4247e-08, imag_w=1.7063e-09, active_edges=510
[PHASE1 | Epoch 2000] lr=1.00e-03, total=2.0447e-02, data=2.0447e-02, sparsity_reg=1.6077e-08, imag_w=4.4654e-09, active_edges=510
[PHASE1 | Epoch 2000] lr=1.00e-03, total=1.4504e-02, data=1.4504e-02, sparsity_reg=1.7522e-08, imag_w=3.3252e-09, active_edges=510
