ablation,group,run,seed,n_train,n_features,use_skip_connections,weight_domain,library,imag_w_coeff_phase1,imag_w_coeff_phase2,imag_w_coeff_phase3,train_mse,test_interp_mse,test_extrap_mse,duration_s,symbolic_match,sympy_count_ops,true_expr,found_expr
ceql_original,A1_three_variate_linear_rational,0,0,128,3,True,complex,"id,id,id,const,const,square,square,div,div | id,id,id,const,const,square,square,div,div",1e-10,0.001,0.001,2.8453481215685773e-06,6.47276303025246e-07,2.5443223964364626e-07,418.5776752920028,0,13,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),-0.37193*(-1.66907*x1 + 0.93436*x2 + 0.47916*x3 + 0.43124)/(0.59999*x1 - 0.6891*x2 - 0.55247*x3 + 0.84355)
ceql_original,A1_three_variate_linear_rational,1,1,128,3,True,complex,"id,id,id,const,const,square,square,div,div | id,id,id,const,const,square,square,div,div",1e-10,0.001,0.001,3.539192546484411e-08,7.001274434350419e-09,3.0583183593480443e-09,420.9862839580019,0,13,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),0.24052*(-2.9662*x1 + 1.66051*x2 + 0.85154*x3 + 0.76639)/(-0.68955*x1 + 0.79196*x2 + 0.63493*x3 - 0.96946)
ceql_original,A1_three_variate_linear_rational,2,2,128,3,True,complex,"id,id,id,const,const,square,square,div,div | id,id,id,const,const,square,square,div,div",1e-10,0.001,0.001,3.866754749479817e-09,6.088634682927484e-09,4.3398474092919536e-09,414.94686562500283,0,35,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),-0.12593*x1/(-0.75778*x1 + 0.87032*x2 + 0.69776*x3 - 1.06539) - 0.31694*x2/(-0.75778*x1 + 0.87032*x2 + 0.69776*x3 - 1.06539) - 0.3809*x3/(-0.75778*x1 + 0.87032*x2 + 0.69776*x3 - 1.06539) + 0.86847 + 1.12784/(-0.75778*x1 + 0.87032*x2 + 0.69776*x3 - 1.06539)
ceql_original,A1_three_variate_linear_rational,3,3,128,3,True,complex,"id,id,id,const,const,square,square,div,div | id,id,id,const,const,square,square,div,div",1e-10,0.001,0.001,3.306720179340196e-07,7.335460564733738e-08,2.951076401106838e-08,423.7230078339999,0,27,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),1.06521*x1/(0.86971*x1 - 0.99887*x2 - 0.80082*x3 + 1.22276) - 0.69367*x2/(0.86971*x1 - 0.99887*x2 - 0.80082*x3 + 1.22276) - 0.4106*x3/(0.86971*x1 - 0.99887*x2 - 0.80082*x3 + 1.22276) - 0.19014
ceql_original,A1_three_variate_linear_rational,4,4,128,3,True,complex,"id,id,id,const,const,square,square,div,div | id,id,id,const,const,square,square,div,div",1e-10,0.001,0.001,83.5115088888092,34.93481768749166,17.299798841484325,439.642564709,0,27,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),2.96055*x1/(1.7505*x1 - 2.05479*x2 - 1.67563*x3 + 1.03091) - 2.75679*x2/(1.7505*x1 - 2.05479*x2 - 1.67563*x3 + 1.03091) - 1.90114*x3/(1.7505*x1 - 2.05479*x2 - 1.67563*x3 + 1.03091) - 0.61142
ceql_original_with_log,A1_three_variate_linear_rational,0,0,128,3,True,complex,"id,id,id,log,log,const,const,square,square,div,div | id,id,id,log,log,const,const,square,square,div,div",1e-10,0.001,0.001,0.9750564630808768,5.5003934023254635,5.425103064494002,490.71206329200504,0,32,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),-0.04238*x1 + 0.76108*x1/(0.71669*x1 - 0.81652*x2 - 0.65689*x3 + 0.99992) - 0.01504*x2 - 0.4728*x2/(0.71669*x1 - 0.81652*x2 - 0.65689*x3 + 0.99992) + 0.05033*x3 - 0.3282*x3/(0.71669*x1 - 0.81652*x2 - 0.65689*x3 + 0.99992)
ceql_original_with_log,A1_three_variate_linear_rational,1,1,128,3,True,complex,"id,id,id,log,log,const,const,square,square,div,div | id,id,id,log,log,const,const,square,square,div,div",1e-10,0.001,0.001,1.307061870024678e-06,9.884369393320462e-07,2.2965403354387772e-07,481.47613483400346,0,35,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),0.50843*x1/(1.4162*x1 - 1.62653*x2 - 1.30403*x3 + 1.9911) + 0.27868*x2/(1.4162*x1 - 1.62653*x2 - 1.30403*x3 + 1.9911) + 0.46041*x3/(1.4162*x1 - 1.62653*x2 - 1.30403*x3 + 1.9911) + 0.67565 - 1.72387/(1.4162*x1 - 1.62653*x2 - 1.30403*x3 + 1.9911)
ceql_original_with_log,A1_three_variate_linear_rational,2,2,128,3,True,complex,"id,id,id,log,log,const,const,square,square,div,div | id,id,id,log,log,const,const,square,square,div,div",1e-10,0.001,0.001,83.55906217237997,34.7437961296454,18.475865389095986,493.402716083001,0,32,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),0.24418*(5.64552*x1 - 3.51608*x2 - 3.29113*x3)**2/(7.83454*x1**2 - 14.25227*x1*x2 - 10.52806*x1*x3 + 8.23615*x1 + 6.36881*x2**2 + 9.50603*x2*x3 - 4.46828*x2 + 3.52604*x3**2 - 9.67081*x3 + 8.86601)
ceql_original_with_log,A1_three_variate_linear_rational,3,3,128,3,True,complex,"id,id,id,log,log,const,const,square,square,div,div | id,id,id,log,log,const,const,square,square,div,div",1e-10,0.001,0.001,79.03642443479603,38.30703925651772,17.94487701155272,491.0178667079963,0,35,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),0.74613*x1/(0.78534*x1 - 1.04501*x2 - 0.95656*x3 + 1.04319) - 0.35476*x2/(0.78534*x1 - 1.04501*x2 - 0.95656*x3 + 1.04319) - 0.00666*x3/(0.78534*x1 - 1.04501*x2 - 0.95656*x3 + 1.04319) + 0.26774 - 0.62942/(0.78534*x1 - 1.04501*x2 - 0.95656*x3 + 1.04319)
ceql_original_with_log,A1_three_variate_linear_rational,4,4,128,3,True,complex,"id,id,id,log,log,const,const,square,square,div,div | id,id,id,log,log,const,const,square,square,div,div",1e-10,0.001,0.001,84.91649725523746,37.28719121419549,18.471954661097556,510.1227576250021,0,150,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),0.4369*x1/(-0.25951*x1**2 - 0.00961*x1**2/(0.25132*x1 - 0.08047*x2) - 0.05389*x1**2/(0.18084*x1 - 0.33449*x2) + 0.65583*x1*x2 + 0.01929*x1*x2/(0.25132*x1 - 0.08047*x2) + 0.1676*x1*x2/(0.18084*x1 - 0.33449*x2) + 0.25782*x1*x3 - 0.32519*x2**2 - 0.00282*x2**2/(0.25132*x1 - 0.08047*x2) - 0.12564*x2**2/(0.18084*x1 - 0.33449*x2) - 0.47689*x2*x3) - 0.55068*x2/(-0.25951*x1**2 - 0.00961*x1**2/(0.25132*x1 - 0.08047*x2) - 0.05389*x1**2/(0.18084*x1 - 0.33449*x2) + 0.65583*x1*x2 + 0.01929*x1*x2/(0.25132*x1 - 0.08047*x2) + 0.1676*x1*x2/(0.18084*x1 - 0.33449*x2) + 0.25782*x1*x3 - 0.32519*x2**2 - 0.00282*x2**2/(0.25132*x1 - 0.08047*x2) - 0.12564*x2**2/(0.18084*x1 - 0.33449*x2) - 0.47689*x2*x3) - 0.93703*x3/(-1.43507*x1 - 0.05312*x1/(0.25132*x1 - 0.08047*x2) - 0.298*x1/(0.18084*x1 - 0.33449*x2) + 0.97219*x2 + 0.00843*x2/(0.25132*x1 - 0.08047*x2) + 0.37561*x2/(0.18084*x1 - 0.33449*x2) + 1.42571*x3) + 0.79018
ceql_real_weights,A1_three_variate_linear_rational,0,0,128,3,True,real,"id,id,id,const,const,square,square,div,div | id,id,id,const,const,square,square,div,div",1e-10,0.001,0.001,82.8019512631794,35.308467981923776,22.606793071092355,426.4565040000016,0,23,(-2.09*x1 + 1.17*x2 + 0.60*x3 + 0.54)/(-2.02*x1 + 2.32*x2 + 1.86*x3 - 2.84),-0.00087*x1**2 - 0.11407*x1*x2 - 0.10504*x1*x3 + 0.17799*x1 + 0.09954*x2**2 + 0.12365*x2*x3 + 0.10898*x2 + 0.02969*x3**2 + 0.17022*x3
