Expression,d,run,seed,train_mse,test_mse,expr
P3,2,0,0,2223.0163851991156,682506.3920781714,(35.836753845214844 + (1.017872452735901 * ((((32.554603576660156 * X1) + (36.814800262451172 * X2)) * (((0.251540750265121 * X2) - (0.086248368024826 * X1)) ^ 2)) + (((7.104701042175293 * X2) - ((-28.205783843994141) * X1)) - (1.043475031852722 * X1)))))
P3,2,1,1,2341.5393712540254,730195.7111281187,(18.016948699951172 + (0.898337483406067 * (((((21.629945755004883 * X1) - ((-85.469253540039062) * X2)) * ((0.168148115277290 * X2) ^ 2)) + (35.743980407714844 * X1)) + ((1.542870759963989 * X2) ^ 2))))
P3,2,2,2,544.6865300036496,140092.75204917908,(10.250164985656738 + (0.996363759040833 * ((((((-93.584053039550781) * X1) + (((-8.906586647033691) * X2) ^ 2)) * (0.030951457098126 * X2)) + ((6.699490547180176 * X1) + (((-1.771054744720459) * X2) ^ 2))) + ((((22.406751632690430 * X1) - (0.318309873342514 * X1)) * (((-0.293101668357849) * X1) ^ 2)) + ((-4.323766231536865) * X2)))))
P3,2,3,3,1800.1841717867005,1279787.651828212,(3.674902439117432 + (0.990147948265076 * ((33.391796112060547 * X1) + (((((-0.109964653849602) * X1) + (3.998423099517822 * X2)) ^ 2) - ((((-0.109964653849602) * X1) + (3.998423099517822 * X2)) + ((((-0.345592975616455) * X1) + (((-3.104508638381958) * X2) + ((0.629603266716003 * X2) ^ 2))) ^ 2))))))
P3,2,4,4,1623.8588611402924,1220900.90431658,(12.180102348327637 + (0.989015281200409 * ((((((3.698552846908569 * X2) ^ 2) - ((-161.426116943359375) * X1)) + (209.187408447265625 * X2)) * ((((-0.037596166133881) * X1) + (0.114015258848667 * X2)) ^ 2)) + (29.567321777343750 * X1))))
P3,4,0,0,1760.4018039055363,770553.0328021396,(8.367790222167969 + (0.990455687046051 * (((((0.005046779289842 * X2) * ((36.536285400390625 * X2) + (8.015273094177246 * X1))) + (6.572432041168213 * X2)) ^ 2) + ((((-3.632052183151245) * X2) + (31.019596099853516 * X1)) + ((0.037579525262117 * X2) * (((-1073.340820312500000) * X2) + ((-85.287300109863281) * X1)))))))
P3,4,1,1,2833.3113044631054,1583123.7080794133,((-4.208364963531494) + (1.007282733917236 * (((22.646944046020508 * X2) + (((((-1.636418342590332) * X2) - (1.059287905693054 * X1)) - ((((0.491702973842621 * X2) - ((-0.130034312605858) * X1)) ^ 2) + ((-2.095064640045166) * X1))) ^ 2)) + (36.610561370849609 * X1))))
P3,4,2,2,626.2868812845387,88114.34365828286,(16.433300018310547 + (0.991605222225189 * ((((((-0.236108809709549) * X2) ^ 2) + ((((-0.094175904989243) * X2) ^ 2) ^ 2)) * ((38.908454895019531 * X2) - ((-8.205415725708008) * X1))) + (((((-42.130668640136719) * X2) - ((-29.463020324707031) * X1)) + (((-5.129949092864990) * X1) ^ 2)) * (0.078475914895535 * X1)))))
P3,4,3,3,1918.7032354018017,1136343.5539815952,(9.241587638854980 + (0.945434689521790 * (((((0.236039847135544 * X2) ^ 2) + ((21.915527343750000 * X2) + ((-0.066723175346851) * X1))) ^ 2) + ((35.360702514648438 * X1) - ((((-21.838130950927734) * X2) ^ 2) + ((-0.034504987299442) * X1))))))
P3,4,4,4,2367.14429311698,38375247.12649649,((-0.066532306373119) + (0.895027756690979 * (((32.729446411132812 * X2) + (35.629039764404297 * X1)) + ((((-17.598867416381836) * X2) + (((((0.469627737998962 * X2) + ((-0.263602405786514) * X1)) + (((-0.277657717466354) * X2) ^ 2)) ^ 2) + ((16.822011947631836 * X2) + (1.710031747817993 * X1)))) ^ 2))))
P3,8,0,0,1805.659760201211,1106004.355893186,(8.949154853820801 + (0.963881015777588 * (((((((17.705184936523438 * X2) * ((-1.825465083122253) * X2)) - ((-36.790367126464844) * X1)) - (43.426223754882812 * X2)) * ((-0.076159514486790) * X2)) - ((-36.414039611816406) * X1)) - (3.039578914642334 * X2))))
P3,8,1,1,2202.7653511573194,35457602.54718965,((-2.394170999526978) + (1.004067301750183 * (((((-5.565263271331787) * X1) - ((-35.785018920898438) * X1)) + (25.789020538330078 * X2)) + (((((0.296387195587158 * X1) + (30.565769195556641 * X2)) + ((((0.240744203329086 * X1) + ((-0.505903422832489) * X2)) + (((-0.266419619321823) * X1) ^ 2)) ^ 2)) + ((-28.845750808715820) * X2)) ^ 2))))
