Expression,d,run,seed,train_mse,test_mse,run_time_s,expr
P2,2,0,0,0.0010887710216398077,0.03845752577043151,7.267122400924563,((-4.484990) + (0.287903 * ((((((((((-0.530708) * X1) ^ 2) - ((-1.071857) * X2)) - ((-1.071857) * X2)) + 2.302585) + (((0.843072 * X2) + 1.758422) ^ 2)) + ((-1.102508) * X1)) + ((((-1.677723) * X2) + ((-0.530708) * X1)) ^ 2)) + ((((((-0.656368) * X1) - ((-1.406459) * X2)) - (0.017670 * X1)) + (((-0.186600) ^ 2) * ((((0.843072 * X2) * 1.758422) ^ 2) + (((((-0.656368) * X1) - ((-1.406459) * X2)) - ((0.017670 * X1) ^ 2)) - (0.017670 * X1))))) + (((2.235457 * X1) ^ 2) - ((-2.613304) * X2))))))
P2,2,1,1,0.007752226290310898,0.33323573763353603,7.356089999899268,((-7.038713) + (0.315891 * ((((1.927090 * X2) - 1.603976) + ((((((-0.780663) * X2) - 2.718282) ^ 2) - (0.912992 * X1)) + ((((-0.741377) * X1) - (((-1.539468) * X1) ^ 2)) + (((-1.180376) * X1) ^ 2)))) + ((((((-0.780663) * X2) - (-2.543662)) + ((((-1.095173) - (1.354889 * X2)) ^ 2) + ((((-0.754390) * X1) ^ 2) + ((((-1.539468) * X1) ^ 2) + ((-0.792116) - (-2.543662)))))) + (((0.852578 * X1) - ((-0.929431) * X2)) ^ 2)) + (1.554809 + (((-1.539468) * X1) ^ 2))))))
P2,2,2,2,0.0011223087581942032,0.03377754282892344,7.376048017293215,((-2.926082) + (0.399437 * (((((0.113430 * X2) - ((-0.946941) * X2)) + (((-0.387985) ^ 2) * (((-0.946941) * X2) - (0.675390 * X1)))) + (((((((-1.337162) * X1) ^ 2) - ((-1.258464) * X2)) - ((0.874743 * X1) + (0.338863 * X1))) + (3.141593 * X2)) + ((1.303476 * X2) ^ 2))) + (((1.327329 * X1) ^ 2) + ((1.303476 * X2) + ((((-0.946941) * X2) - (0.675390 * X1)) ^ 2))))))
P2,2,3,3,0.00023121612558003266,0.0035817541292031204,7.159696400165558,((-5.532434) + (0.862975 * ((((((((-1.143148) * X1) + (0.356696 * X2)) ^ 2) + (((((0.804648 * X1) ^ 2) + ((-0.609673) * X1)) + ((0.707107 * X1) + ((0.714037 * X1) ^ 2))) + (((0.876081 * X2) - (-1.712744)) ^ 2))) * (((-0.371268) ^ 2) ^ 2)) + ((((((-1.143148) * X1) + ((-0.264871) * X2)) ^ 2) + (((0.707107 * X1) ^ 2) + ((0.592598 * X2) ^ 2))) + (((0.876081 * X2) - (-1.712744)) ^ 2))) + ((-0.609673) * X1))))
P2,2,4,4,0.00026110333567696555,0.0037263840700725364,7.034652212634683,((-4.979706) + ((-0.365626) * ((((((-0.075272) ^ 2) * (((-1.309390) * X1) + ((((-2.072476) - ((-0.650540) * X2)) ^ 2) - (((1.933953 * X1) + (0.358109 * X2)) ^ 2)))) - (((1.132407 * X2) + (0.429436 + 0.500397)) + (0.318310 ^ 2))) - ((((-2.072476) - (1.647820 * X2)) ^ 2) + ((0.238602 - (0.341524 * X2)) + ((((-1.434492) * X1) + ((-0.424332) * X2)) + (((1.933953 * X1) + (0.358109 * X2)) ^ 2))))) - ((0.786184 * X1) ^ 2))))
P2,4,0,0,0.006019780822695347,0.30792131714893056,7.111700253561139,((-3.352843) + (0.232152 * ((((1.062699 * X2) + ((2.718282 * X2) * (0.822095 * X1))) + ((((((((-2.065853) * X2) ^ 2) + (((-2.139299) * X1) ^ 2)) - (((-1.037304) * X2) ^ 2)) + ((6.283185 * X2) + ((-1.099992) * X1))) + (((0.709286 * X1) ^ 2) - (0.665329 * X1))) + ((((-0.933909) * X1) ^ 2) + ((((-0.467718) * X1) + (((-0.965803) * X1) ^ 2)) + (((1.130898 * X2) - (-1.369170)) ^ 2))))) + (0.931382 * X2))))
P2,4,1,1,0.0007957528998722259,0.03440731784058312,6.902423430234194,((-3.172019) + (0.496323 * ((((((0.571927 * X1) - ((-0.893034) * X2)) ^ 2) + ((-0.055902) * ((((((-0.893034) * X2) - (-0.055902)) + (1.190232 * X2)) + ((-1.107543) * X1)) + ((((-1.172003) * X2) - 1.108989) ^ 2)))) + ((1.442695 * X2) + ((0.571927 * X1) ^ 2))) + (((((((0.270432 * X1) ^ 2) + (1.190232 * X2)) + (1.190232 * X2)) + ((-1.107543) * X1)) + ((((-1.172003) * X2) - 0.707107) ^ 2)) + (((1.580928 * X1) ^ 2) + ((-0.055902) ^ 2))))))
P2,4,2,2,1.5111190462889395e-05,0.00024372201919389139,7.1337687987834215,((-3.089624) + (0.740967 * (((((0.856530 * X2) ^ 2) + (((-0.436418) + ((-0.815010) * X2)) ^ 2)) + ((((2.179719 * X2) + (((1.412238 * X2) - 1.442695) * (0.497045 * X1))) + (((-1.452665) * X1) ^ 2)) + (0.652583 * X2))) + (((((((0.856530 * X2) ^ 2) + (((-1.452665) * X1) ^ 2)) + (2.118857 * X2)) + (((-1.452665) * X1) ^ 2)) + ((((-0.815010) * X2) + ((-0.815010) * X2)) + (((2.179719 * X2) + (((1.236925 * X2) - 1.442695) * ((-1.452665) * X1))) + (((-1.452665) * X1) ^ 2)))) * (((-0.296447) ^ 2) ^ 2)))))
P2,4,3,3,5.868888984609182e-05,0.0015241408188242272,7.402993069961667,((-5.099497) + (0.308537 * ((((((-1.286201) ^ 2) + (((((1.442695 * X1) - ((-1.239726) * X2)) ^ 2) + ((-1.715431) * X1)) + ((0.610574 * X1) ^ 2))) + (((-1.715431) * X1) + (1.146995 * X2))) * (-0.007129)) + ((((-1.286201) ^ 2) + ((((((0.610574 * X1) ^ 2) + (1.146995 * X2)) + ((1.048075 * X1) ^ 2)) + ((-1.715431) * X1)) + (((0.676955 * X1) - ((-1.239726) * X2)) ^ 2))) + (((((-0.363002) * X1) ^ 2) + (1.146995 * X2)) + ((((-2.311218) + ((-1.357597) * X2)) ^ 2) + ((1.772454 * X1) ^ 2)))))))
P2,4,4,4,0.010505032620369554,0.5146706195294964,7.236079989001155,((-4.333603) + (0.164808 * (((((-2.297503) + ((-1.719501) * X2)) ^ 2) - ((0.885620 * X1) - (1.772454 * X2))) + (((((((1.730672 * X1) ^ 2) + (((-2.028783) + ((-1.719501) * X2)) ^ 2)) - (((1.278141 * X2) - (-2.028783)) - ((-0.263403) * X1))) + ((((0.657554 * X2) + (2.302585 * X1)) ^ 2) + (0.777264 * X2))) - (((-0.018525) ^ 2) + (-0.760224))) + ((((1.187582 * X1) ^ 2) + ((-0.700453) * X1)) + ((-0.018525) + (((-0.131373) * X2) - (1.300740 * X1))))))))
